num_linha;resolucao;habilita;ncm;regra_de_origem;margem_normal;regra_de_qualificacao;margem_adicional;comentario;desc_ncm_4dg;grupo_cics;Está em cics_1;Está em cics_3;Está em cics_7;Está em cics8
82;cics_4;habilita;30041012;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
83;cics_4;habilita;30041014;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
84;cics_4;habilita;30042029;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
85;cics_4;habilita;30042032;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
86;cics_4;habilita;30042049;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
87;cics_4;habilita;30042059;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
88;cics_4;habilita;30042069;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
89;cics_4;habilita;30042099;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
90;cics_4;habilita;30043100;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
91;cics_4;habilita;30043220;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
92;cics_4;habilita;30043290;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
93;cics_4;habilita;30043929;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
94;cics_4;habilita;30043939;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
95;cics_4;habilita;30043999;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
96;cics_4;habilita;30044990;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
97;cics_4;habilita;30045010;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
98;cics_4;habilita;30046000;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
99;cics_4;habilita;30049014;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
100;cics_4;habilita;30049019;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
101;cics_4;habilita;30049021;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
102;cics_4;habilita;30049024;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
103;cics_4;habilita;30049029;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;3;2
104;cics_4;habilita;30049029;MedNac; 5 ;MedIFANac; 10 ;Aparece duas vezes na Resolução.;#VALOR!;Medicamentos;0;0;3;2
105;cics_4;habilita;30049035;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
106;cics_4;habilita;30049036;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
107;cics_4;habilita;30049039;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
108;cics_4;habilita;30049041;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
109;cics_4;habilita;30049042;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
110;cics_4;habilita;30049045;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
111;cics_4;habilita;30049049;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
112;cics_4;habilita;30049059;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
113;cics_4;habilita;30049063;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
114;cics_4;habilita;30049065;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
115;cics_4;habilita;30049067;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
116;cics_4;habilita;30049068;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
117;cics_4;habilita;30049069;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
118;cics_4;habilita;30049072;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
119;cics_4;habilita;30049076;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
120;cics_4;habilita;30049078;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
121;cics_4;habilita;30049079;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;2
122;cics_4;habilita;30049095;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;1
123;cics_4;habilita;30049099;MedNac; 5 ;MedIFANac; 10 ;;#VALOR!;Medicamentos;0;0;2;1
124;cics_4;habilita;38229000;MedNac; 5 ;MedIFANac; 10 ;Removido na próxima resolução (nº 7);"Reagentes de diagnóstico ou de laboratório em qualquer suporte e reagentes de diagnóstico ou de laboratório preparados, mesmo num suporte, mesmo apresentados sob a forma de estojos, exceto os da posição 30.06; materiais de referência certificados.";Medicamentos;0;0;1;1
125;cics_4;habilita;84099140;CFI ou PPB; 10 ;portaria DesIn; 10 ;;Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 84.07 ou 84.08.;TICs;0;0;2;2
126;cics_4;habilita;84705010;CFI ou PPB; 10 ;portaria DesIn; 10 ;;#VALOR!;TICs;0;0;2;1
